year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2015, 1 Series,12990,Automatic,62338,Diesel,125,61.4,2.0,5994.885
2017, 1 Series,20995,Semi-Auto,22000,Petrol,150,39.8,3.0,12357.657000000001
2019, 1 Series,31993,Semi-Auto,6000,Petrol,145,34.5,2.0,24484.2429
2019, 1 Series,18500,Automatic,16189,Diesel,150,67.3,2.0,14158.05
2019, 1 Series,24600,Semi-Auto,7072,Petrol,145,40.4,1.5,18826.38
2015, 1 Series,13500,Manual,31652,Diesel,30,62.8,2.0,6230.25
2019, 1 Series,15199,Manual,8807,Petrol,145,53.3,1.5,11631.7947
2015, 1 Series,10999,Manual,17544,Petrol,125,53.3,1.5,5076.038500000001
2015, 1 Series,14249,Automatic,24214,Diesel,30,64.2,2.0,6575.913500000001
2015, 1 Series,9990,Manual,26000,Petrol,145,48.7,1.6,4610.385
2017, 1 Series,12800,Manual,30521,Diesel,145,68.9,0.0,7534.08
2015, 1 Series,8990,Manual,39000,Petrol,30,56.5,1.5,4148.885
2019, 1 Series,14698,Manual,14847,Diesel,150,72.4,1.5,11248.3794
2019, 1 Series,25898,Manual,3000,Petrol,145,41.5,1.5,19819.7394
2015, 1 Series,14800,Automatic,40960,Diesel,125,61.4,2.0,6830.200000000001
2015, 1 Series,10348,Automatic,57570,Diesel,0,74.3,2.0,4775.602
2015, 1 Series,11550,Semi-Auto,19886,Diesel,20,67.3,2.0,5330.325
2015, 1 Series,10485,Manual,66563,Diesel,20,68.9,2.0,4838.8275
2015, 1 Series,13442,Semi-Auto,15200,Diesel,0,78.5,1.5,6203.483
2017, 1 Series,21990,Automatic,13905,Petrol,145,39.8,3.0,12943.314
2019, 1 Series,31070,Automatic,6000,Petrol,145,34.5,2.0,23777.871
2019, 1 Series,19840,Semi-Auto,5077,Petrol,145,55.5,1.5,15183.552
2015, 1 Series,12800,Manual,37391,Diesel,30,65.7,2.0,5907.200000000001
2019, 1 Series,24160,Manual,5181,Petrol,145,41.5,1.5,18489.648
2019, 1 Series,23000,Semi-Auto,1956,Diesel,145,60.1,2.0,17601.899999999998
2017, 1 Series,15792,Semi-Auto,8789,Petrol,30,55.5,1.5,9295.1712
2015, 1 Series,13832,Semi-Auto,13600,Petrol,145,48.7,1.6,6383.468
2015, 1 Series,10899,Manual,64716,Diesel,30,65.7,2.0,5029.8885
2019, 1 Series,15989,Automatic,5504,Petrol,145,55.5,1.5,12236.3817
2015, 1 Series,11295,Automatic,27054,Diesel,20,72.4,1.5,5212.6425
2019, 1 Series,20600,Automatic,143,Diesel,145,70.6,2.0,15765.18
2015, 1 Series,11995,Manual,30241,Diesel,20,72.4,1.5,5535.6925
2017, 1 Series,15200,Automatic,26660,Diesel,20,67.3,2.0,8946.72
